expectedSkill
"html,css,javascript,figma"
flutter
"seo,content writing"
photoshop
excel
"html,css,javascript,nodejs"
communication
communication
"communication,data entry"
"seo,html,css,javascript,figma"
photoshop
"attention to detail,writing "
"html,css,javascript,figma"
photoshop
"seo,content writing"
react-native
excel
photoshop
"video editing,video creation"
"html,css,javascript,nodejs"
content writing
communication
"html,css,javascript,nodejs,seo"
react-native
"html,css,javascript"
copy writing
"english,spanish"
content writing
database mangament system
it consulting
content writing
"c#,unity"
technical support
